日期,上海机场,浦发银行,三一重工,中国联通,烽火通信,青岛啤酒,绿地控股,福耀玻璃
Date,600009.SH,600000.SH,600031.SH,600050.SH,600498.SH,600600.SH,600606.SH,600660.SH
2018-01-31,4.176849589,4.606830818,1.323042999,10.2685624,-9.053069719,1.423849479,26.57534247,-6.586206897
2018-02-28,4.222648752,-5.391040243,-9.902067465,-8.022922636,8.390541571,-4.412133367,-17.0995671,-3.359173127
2018-03-30,-0.061387354,-6.500802568,-5.072463768,-10.12461059,1.055594652,6.031995804,-3.263707572,-5.38579068
2018-04-27,1.945126945,-0.343347639,10.94147583,-1.039861352,-5.013927577,0.643086817,-2.834008097,-9.285425918
2018-05-31,8.19441655,-9.130060293,-7.224770642,-4.903677758,-2.675953079,30.17940526,-7.083333333,14.28051068
2018-06-29,2.988676443,-9.383886256,10.8776267,-9.014731019,-6.403013183,-17.25505003,-2.242152466,3.170144462
2018-07-31,8.633741889,7.504096112,3.121516165,5.894308943,16.9233167,1.209217431,2.885608366,-1.944768573
2018-08-31,-8.029855991,1.573254671,-0.959413027,7.677543186,0.522284123,-22.13457491,-0.309597523,0.833002777
2018-09-28,7.08819242,2.807357212,-1.333333333,-0.713012478,3.359889158,1.666666667,-0.621118012,0.118017309
2018-10-31,-15.68827633,3.389830508,-11.37387387,-2.692998205,-10.9919571,-13.14351452,-3.59375,-13.42280637
2018-11-30,1.109989909,-2.459016393,2.033036849,-2.58302583,6.25,2.086092715,-0.324149109,0.6922012
2018-12-28,1.317365269,-8.496732026,3.860523039,-2.083333333,0.885896527,13.07168343,-0.650406504,4.399633364
2019-01-31,-2.876280536,9.489795918,9.352517986,2.707930368,-2.002107482,8.232931727,4.909983633,2.107111501
2019-02-28,16.14604462,9.412861137,13.9254386,21.09227872,17.49103943,1.457725948,8.580343214,4.256233878
2019-03-29,8.539993014,-3.918228279,23.00288739,5.598755832,-3.874313606,12.77429467,8.333333333,0.329896907
2019-04-30,13.64440869,6.117021277,-4.147104851,-1.76730486,-7.045382418,18.13759555,-0.928381963,3.24702014
2019-05-31,-2.109585162,-7.01754386,-1.469387755,-11.09445277,-9.559576647,-4.68627451,-10.17402945,-10.15060818
2019-06-28,21.1744287,8.203545315,8.367854184,4.727251858,5.171762929,2.71549064,1.788375559,4.122766835
2019-07-31,-1.193602292,1.626712329,10.08384251,-3.733766234,0.334447064,-9.252954136,6.389289425,-0.879894413
2019-08-30,2.328725257,-4.970513901,-4.603399433,-1.349072513,-2.5,17.87446789,-4.604316547,-2.663115846
2019-09-30,-5.08030934,4.964539007,6.013363029,2.735042735,1.672240803,-8.178720182,6.485671192,-2.051983584
2019-10-18,-0.58912008,7.939189189,0.910364146,1.331114809,-0.438596491,-2.309278351,1.983002833,0.279329609
